answer,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,100
Marty,texans,cowboys,steelers,bills,colts,panthers,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,52
Jason,texans,wash,steelers,bills,titans,vikings,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,50
Austin,lions,cowboys,steelers,bills,colts,vikings,browns,giants,pats,dolphins,falcons,saints,rams,bucs,pack,seahawks,51
Sam,lions,cowboys,steelers,chargers,colts,panthers,browns,giants,cardinals,dolphins,raiders,saints,49ers,chiefs,pack,seahawks,44
Brad_J,texans,wash,steelers,bills,titans,vikings,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,54
Tommy,texans,wash,ravens,bills,titans,vikings,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,48
Rick,texans,cowboys,steelers,bills,colts,vikings,browns,giants,pats,dolphins,raiders,saints,rams,chiefs,bears,seahawks,54
Jake_h,texans,wash,steelers,bills,titans,vikings,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,55
Cal_Griff,texans,cowboys,ravens,bills,titans,panthers,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,50
Clark,texans,cowboys,steelers,bills,titans,panthers,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,51
Carey,texans,wash,steelers,bills,colts,panthers,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,48
Nick,texans,cowboys,steelers,bills,colts,vikings,browns,giants,pats,dolphins,raiders,saints,rams,chiefs,pack,seahawks,50
Brownie,lions,wash,steelers,bills,titans,vikings,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,50
Chubbs,lions,cowboys,steelers,bills,colts,vikings,jags,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,47
Charlie,texans,cowboys,steelers,bills,colts,vikings,browns,giants,cardinals,dolphins,raiders,saints,rams,chiefs,pack,seahawks,48
numGames,16
