answer,BUCS,49ERS,DOLPHINS,RAVENS,CHIEFS,PANTHERS,JETS,BEARS,BENGALS,STEELERS,CHARGERS,COWBOYS,SEAHAWKS,PACK,BILLS,47
Marty,bucs,cardinals,raiders,ravens,chiefs,wash,browns,bears,texans,colts,broncos,eagles,seahawks,pack,bills,41
Jason,bucs,cardinals,dolphins,ravens,chiefs,wash,browns,bears,texans,colts,chargers,cowboys,rams,titans,bills,45
Austin,bucs,cardinals,dolphins,ravens,chiefs,wash,browns,bears,texans,colts,chargers,eagles,rams,pack,bills,45
Brad_J,bucs,cardinals,dolphins,ravens,chiefs,wash,browns,bears,bengals,colts,broncos,eagles,seahawks,titans,bills,46
Tommy,bucs,49ers,raiders,ravens,chiefs,panthers,browns,bears,texans,steelers,chargers,eagles,rams,pack,bills,47
Cal_Griff,bucs,cardinals,dolphins,ravens,chiefs,panthers,browns,bears,texans,colts,chargers,eagles,rams,pack,bills,44
Clark,bucs,cardinals,raiders,ravens,chiefs,wash,browns,bears,texans,steelers,chargers,eagles,seahawks,pack,bills,46
Carey,bucs,cardinals,dolphins,ravens,chiefs,wash,browns,bears,texans,colts,chargers,cowboys,seahawks,pack,bills,51
Nick,bucs,cardinals,dolphins,ravens,chiefs,wash,browns,bears,texans,steelers,chargers,eagles,seahawks,pack,bills,46
Charlie,bucs,cardinals,dolphins,ravens,chiefs,wash,browns,bears,texans,colts,chargers,eagles,rams,titans,bills,47
Jake_h,bucs,cardinals,dolphins,ravens,chiefs,wash,browns,bears,texans,colts,chargers,eagles,rams,titans,bills,45
numGames,15
