answer,BILLS,PACK,COLTS,TITANS,BEARS,SEAHAWKS,DOLPHINS,RAVENS,BUCS,COWBOYS,CARDINALS,JETS,CHIEFS,BROWNS,BENGALS,44
Marty,bills,pack,colts,titans,vikings,seahawks,pats,ravens,bucs,49ers,cardinals,rams,chiefs,browns,steelers,46
Jason,bills,pack,colts,titans,vikings,seahawks,dolphins,ravens,bucs,cowboys,cardinals,rams,chiefs,browns,steelers,44
Austin,bills,pack,colts,titans,vikings,seahawks,dolphins,ravens,bucs,49ers,cardinals,rams,chiefs,browns,steelers,45
Brad_J,bills,pack,colts,titans,vikings,seahawks,dolphins,ravens,bucs,49ers,cardinals,rams,chiefs,browns,steelers,48
Tommy,bills,pack,colts,titans,bears,seahawks,dolphins,ravens,bucs,49ers,cardinals,rams,chiefs,browns,steelers,44
Rick,bills,pack,colts,titans,bears,seahawks,pats,ravens,bucs,49ers,eagles,rams,chiefs,browns,steelers,44
Cal_Griff,bills,pack,colts,titans,vikings,wash,dolphins,ravens,bucs,49ers,cardinals,rams,chiefs,browns,steelers,37
Clark,bills,pack,colts,titans,bears,seahawks,dolphins,ravens,bucs,cowboys,cardinals,rams,chiefs,browns,steelers,41
Carey,bills,pack,colts,titans,vikings,seahawks,dolphins,ravens,bucs,cowboys,cardinals,rams,chiefs,browns,steelers,41
Nick,bills,pack,colts,titans,vikings,wash,dolphins,ravens,bucs,cowboys,cardinals,rams,chiefs,browns,steelers,38
Charlie,bills,pack,colts,titans,vikings,seahawks,dolphins,ravens,bucs,49ers,cardinals,rams,chiefs,browns,steelers,38
Jake_h,bills,pack,colts,titans,vikings,seahawks,dolphins,ravens,bucs,49ers,cardinals,rams,chiefs,browns,steelers,42
numGames,15
