answer,STEELERS,WASH,BILLS,SAINTS,CHARGERS,PACK,BROWNS,LIONS,CARDINALS,49ERS,CHIEFS,BUCS,RAMS,34
Marty,steelers,cowboys,bills,panthers,chargers,pack,bengals,falcons,seahawks,49ers,chiefs,bucs,bears,46
Jason,steelers,wash,bills,saints,chargers,pack,browns,falcons,seahawks,49ers,chiefs,bucs,rams,46
Austin,steelers,cowboys,bills,saints,chargers,pack,browns,lions,seahawks,49ers,chiefs,raiders,bears,51
Sam,steelers,cowboys,bills,saints,chargers,pack,browns,lions,seahawks,pats,chiefs,bucs,bears,28
Brad_J,steelers,cowboys,bills,saints,chargers,pack,bengals,falcons,seahawks,pats,chiefs,bucs,rams,46
Tommy,titans,wash,bills,saints,chargers,pack,browns,falcons,seahawks,49ers,chiefs,bucs,bears,48
Fritzy,titans,wash,bills,saints,chargers,pack,browns,falcons,seahawks,pats,chiefs,bucs,rams,45
Rick,steelers,cowboys,bills,saints,chargers,pack,browns,lions,seahawks,49ers,chiefs,bucs,bears,47
Jake_h,titans,cowboys,bills,panthers,chargers,pack,bengals,falcons,seahawks,pats,chiefs,bucs,rams,48
Cal_Griff,steelers,cowboys,bills,saints,chargers,pack,bengals,lions,seahawks,49ers,chiefs,bucs,rams,37
Clark,titans,wash,bills,saints,chargers,pack,browns,falcons,seahawks,pats,chiefs,bucs,rams,44
Carey,steelers,cowboys,bills,panthers,chargers,pack,browns,falcons,seahawks,pats,chiefs,bucs,rams,54
Nick,titans,cowboys,bills,saints,chargers,pack,browns,falcons,seahawks,pats,chiefs,bucs,rams,45
Brownie,titans,wash,bills,saints,chargers,pack,browns,falcons,seahawks,pats,chiefs,bucs,rams,48
Connor,steelers,wash,bills,panthers,chargers,pack,browns,lions,cardinals,49ers,chiefs,bucs,rams,47
Skeeter,titans,wash,bills,saints,chargers,pack,browns,falcons,seahawks,pats,chiefs,bucs,bears,39
Chubbs,steelers,cowboys,bills,saints,chargers,pack,browns,lions,seahawks,pats,chiefs,bucs,rams,44
Charlie,titans,wash,bills,saints,chargers,texans,bengals,falcons,seahawks,pats,chiefs,bucs,bears,48
numGames,13
format,no_confidence
