answer,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,100
Marty,alabama,pitt,houston,kentucky,usc,byu,north_western,iowa,citadel,falcons,browns,49ers,bengals,eagles,colts,pats,ravens,commanders,titans,chiefs,chargers,pack,bucs,broncos,45
Jason,alabama,pitt,houston,florida,usc,byu,north_western,iowa,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,commanders,titans,chiefs,chargers,vikings,cowboys,broncos,44
Austin,alabama,pitt,texas_tech,kentucky,usc,byu,north_western,iowa,etsu,falcons,panthers,49ers,bengals,lions,colts,pats,ravens,commanders,titans,chiefs,chargers,pack,bucs,broncos,44
Brad_J,alabama,tennessee,texas_tech,florida,usc,byu,north_western,iowa,etsu,saints,panthers,49ers,bengals,lions,colts,dolphins,ravens,jags,titans,chiefs,chargers,vikings,bucs,broncos,44
Tommy,alabama,tennessee,texas_tech,florida,usc,byu,north_western,iowa_st,etsu,saints,panthers,bears,bengals,lions,colts,pats,ravens,jags,titans,chiefs,raiders,pack,bucs,broncos,32
Rick,alabama,tennessee,texas_tech,florida,usc,baylor,duke,iowa,citadel,saints,panthers,bears,bengals,lions,colts,dolphins,ravens,commanders,titans,chiefs,chargers,pack,bucs,broncos,44
Jake_h,alabama,tennessee,texas_tech,florida,usc,baylor,north_western,iowa,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,jags,titans,chiefs,chargers,vikings,bucs,broncos,44
Clark,alabama,pitt,houston,florida,usc,baylor,north_western,iowa_st,etsu,saints,panthers,49ers,bengals,lions,colts,dolphins,ravens,commanders,titans,chiefs,raiders,vikings,cowboys,broncos,44
Carey,alabama,tennessee,texas_tech,florida,usc,baylor,north_western,iowa,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,commanders,titans,chiefs,chargers,pack,cowboys,broncos,47
Brownie,alabama,pitt,texas_tech,florida,usc,baylor,north_western,iowa,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,commanders,titans,chiefs,chargers,pack,cowboys,broncos,46
Ron,alabama,tennessee,texas_tech,florida,usc,baylor,north_western,iowa_st,etsu,saints,panthers,49ers,bengals,eagles,colts,pats,ravens,commanders,titans,chiefs,chargers,pack,bucs,broncos,44
Aj,alabama,pitt,houston,florida,usc,baylor,north_western,iowa,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,jags,titans,chiefs,chargers,pack,bucs,broncos,40
Chris_Q,alabama,tennessee,texas_tech,florida,usc,baylor,north_western,iowa_st,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,commanders,titans,chiefs,chargers,pack,bucs,broncos,42
Lucas,alabama,tennessee,houston,florida,usc,baylor,north_western,iowa,etsu,saints,panthers,49ers,bengals,lions,colts,dolphins,ravens,jags,titans,cardinals,chargers,vikings,cowboys,broncos,38
Tim,alabama,tennessee,houston,florida,usc,baylor,north_western,iowa,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,commanders,titans,chiefs,chargers,vikings,bucs,broncos,45
Todd,alabama,tennessee,texas_tech,florida,usc,baylor,north_western,iowa_st,etsu,saints,panthers,49ers,bengals,eagles,colts,dolphins,ravens,commanders,titans,cardinals,chargers,pack,cowboys,broncos,39
Tyler,alabama,pitt,texas_tech,florida,usc,baylor,north_western,iowa,etsu,falcons,panthers,49ers,bengals,eagles,colts,pats,ravens,commanders,titans,chiefs,raiders,pack,cowboys,broncos,44
Mike_B,alabama,pitt,houston,florida,usc,baylor,north_western,iowa,etsu,saints,browns,49ers,bengals,eagles,colts,pats,ravens,jags,titans,chiefs,chargers,pack,bucs,broncos,34
Adam,alabama,tennessee,houston,florida,usc,baylor,north_western,iowa,etsu,saints,panthers,bears,bengals,eagles,colts,pats,ravens,jags,titans,chiefs,chargers,vikings,bucs,broncos,45
numGames,24
format,no_confidence
