answer,RAMS,TITANS,STEELERS,CARDINALS,RAIDERS,TEXANS,RAVENS,PANTHERS,DOLPHINS,COWBOYS,BROWNS,empty,SEAHAWKS,saints,100
Marty,rams,titans,steelers,cardinals,chiefs,texans,ravens,panthers,49ers,cowboys,browns,pats,vikings,chargers,55
Jason,rams,bills,steelers,cardinals,chiefs,texans,ravens,panthers,49ers,cowboys,colts,pats,seahawks,saints,53
Austin,rams,bills,steelers,cardinals,chiefs,jags,ravens,falcons,49ers,cowboys,browns,pats,seahawks,saints,51
Sam,rams,bills,steelers,cardinals,chiefs,jags,ravens,panthers,49ers,cowboys,browns,pats,seahawks,saints,48
Brad_J,rams,bills,steelers,cardinals,chiefs,texans,ravens,panthers,49ers,cowboys,colts,pats,seahawks,saints,56
Tommy,rams,titans,steelers,cardinals,chiefs,texans,ravens,falcons,49ers,c owboys,colts,pats,seahawks,saints,49
Fritzy,redskins,bills,steelers,cardinals,chiefs,texans,ravens,falcons,49ers,cowboys,colts,pats,seahawks,saints,59
Rick,rams,bills,steelers,cardinals,chiefs,texans,ravens,panthers,49ers,cowboys,browns,pats,seahawks,saints,59
Jake_h,rams,bills,steelers,cardinals,chiefs,texans,ravens,panthers,49ers,cowboys,browns,pats,seahawks,saints,59
Cal_Griff,rams,titans,steelers,cardinals,chiefs,texans,ravens,falcons,49ers,cowboys,colts,pats,vikings,chargers,45
Clark,rams,bills,steelers,cardinals,chiefs,texans,ravens,falcons,49ers,cowboys,browns,pats,seahawks,saints,53
Carey,rams,bills,steelers,cardinals,chiefs,texans,ravens,falcons,49ers,cowboys,colts,pats,seahawks,saints,59
Nick,rams,bills,steelers,cardinals,chiefs,texans,ravens,falcons,49ers,cowboys,browns,pats,seahawks,saints,57
Brownie,rams,bills,steelers,cardinals,chiefs,texans,ravens,panthers,49ers,cowboys,browns,pats,seahawks,saints,59
Connor,rams,bills,eagles,cardinals,chiefs,texans,ravens,falcons,49ers,cowboys,colts,pats,seahawks,saints,42
Skeeter,rams,bills,steelers,cardinals,chiefs,texans,ravens,falcons,49ers,cowboys,browns,pats,seahawks,saints,43
Chubbs,rams,bills,steelers,cardinals,chiefs,texans,ravens,panthers,49ers,cowboys,browns,pats,seahawks,saints,54
Charlie,rams,bills,steelers,cardinals,chiefs,jags,ravens,panthers,49ers,cowboys,browns,pats,seahawks,saints,52
numGames,14
