answer,BEARS,COLTS,LIONS,FALCONS,GIANTS,RAVENS,STEELERS,TITANS,BRONCOS,DOLPHINS,BUCS,49ERS,CHIEFS,CARDINALS,48
Marty,bears,bengals,jags,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,49ers,chiefs,cardinals,59
Jason,panthers,colts,lions,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cardinals,52
Austin,panthers,colts,jags,vikings,wash,ravens,browns,titans,pats,jets,pack,49ers,bills,cardinals,59
Sam,panthers,bengals,lions,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cowboys,38
Brad_J,panthers,colts,lions,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cardinals,59
Tommy,bears,bengals,jags,falcons,giants,ravens,browns,titans,pats,jets,pack,rams,chiefs,cardinals,56
Fritzy,panthers,colts,jags,falcons,giants,ravens,steelers,titans,pats,dolphins,pack,rams,bills,cardinals,57
Rick,bears,colts,lions,falcons,wash,ravens,steelers,titans,broncos,dolphins,pack,rams,chiefs,cowboys,59
Jake_h,panthers,colts,jags,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cardinals,49
Cal_Griff,panthers,colts,lions,vikings,wash,ravens,browns,titans,pats,dolphins,pack,rams,chiefs,cowboys,62
Clark,bears,colts,lions,vikings,wash,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cardinals,58
Carey,panthers,colts,jags,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cardinals,64
Nick,panthers,colts,jags,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cardinals,56
Brownie,bears,colts,lions,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cardinals,55
Connor,panthers,colts,lions,vikings,giants,eagles,steelers,titans,pats,dolphins,bucs,rams,chiefs,cowboys,49
Skeeter,bears,colts,jags,falcons,wash,ravens,steelers,titans,pats,dolphins,bucs,rams,chiefs,cowboys,52
Chubbs,panthers,colts,lions,vikings,giants,ravens,steelers,titans,pats,dolphins,pack,rams,chiefs,cowboys,57
Charlie,bears,colts,lions,vikings,wash,ravens,steelers,titans,pats,dolphins,bucs,rams,bills,cardinals,55
numGames,14
